locus_tag	ftype	length_bp	gene	EC_number	COG	product
BPPMDLJL_02292	CDS	876				hypothetical protein
BPPMDLJL_02293	CDS	252				hypothetical protein
BPPMDLJL_02294	CDS	816				hypothetical protein
BPPMDLJL_02295	CDS	969	yehZ		COG1732	Glycine betaine-binding protein YehZ
BPPMDLJL_02296	CDS	2586				hypothetical protein
BPPMDLJL_02297	CDS	477				hypothetical protein
BPPMDLJL_02298	CDS	441				hypothetical protein
BPPMDLJL_02299	CDS	615				hypothetical protein
BPPMDLJL_02300	CDS	669	opuCB_1		COG1174	Carnitine transport permease protein OpuCB
BPPMDLJL_02301	CDS	723				hypothetical protein
BPPMDLJL_02302	CDS	1083	osmV	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
BPPMDLJL_02303	CDS	1977				hypothetical protein
BPPMDLJL_02304	CDS	1026				hypothetical protein
BPPMDLJL_02305	CDS	2490				hypothetical protein
BPPMDLJL_02306	CDS	432			COG2018	Serine protease inhibitor
BPPMDLJL_02307	CDS	327				hypothetical protein
BPPMDLJL_02308	CDS	585				hypothetical protein
BPPMDLJL_02309	CDS	738				hypothetical protein
BPPMDLJL_02310	CDS	420				hypothetical protein
BPPMDLJL_02311	CDS	1338	hmp_2	1.14.12.17		Flavohemoprotein
BPPMDLJL_02312	CDS	789	tcrX_2		COG0745	putative transcriptional regulatory protein TcrX
BPPMDLJL_02313	CDS	1437	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
BPPMDLJL_02314	CDS	1818				hypothetical protein
BPPMDLJL_02315	CDS	627				hypothetical protein
BPPMDLJL_02316	CDS	3825				hypothetical protein
BPPMDLJL_02317	CDS	399				hypothetical protein
BPPMDLJL_02318	CDS	930				hypothetical protein
BPPMDLJL_02319	CDS	3762				hypothetical protein
BPPMDLJL_02320	CDS	795	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
BPPMDLJL_02321	CDS	408	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
BPPMDLJL_02322	CDS	1395	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
BPPMDLJL_02323	CDS	474				hypothetical protein
BPPMDLJL_02324	CDS	819				hypothetical protein
BPPMDLJL_02325	CDS	1098	zapE			Cell division protein ZapE
BPPMDLJL_02326	CDS	393				hypothetical protein
BPPMDLJL_02327	CDS	582	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
BPPMDLJL_02328	CDS	1479				hypothetical protein
BPPMDLJL_02329	CDS	957				hypothetical protein
BPPMDLJL_02330	CDS	1383				hypothetical protein
BPPMDLJL_02331	CDS	870				hypothetical protein
BPPMDLJL_02332	CDS	180				hypothetical protein
BPPMDLJL_02333	CDS	774				hypothetical protein
BPPMDLJL_02334	CDS	789				hypothetical protein
BPPMDLJL_02335	CDS	1446				hypothetical protein
BPPMDLJL_02336	CDS	768				hypothetical protein
BPPMDLJL_02337	CDS	768				hypothetical protein
BPPMDLJL_02338	CDS	219				hypothetical protein
BPPMDLJL_02339	CDS	732			COG3253	putative protein/MSMEI_2713
BPPMDLJL_02340	CDS	1440	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
BPPMDLJL_02341	CDS	975				hypothetical protein
BPPMDLJL_02342	CDS	1401	npr	1.11.1.1	COG0446	NADH peroxidase
BPPMDLJL_02343	CDS	339				hypothetical protein
BPPMDLJL_02344	CDS	819				hypothetical protein
BPPMDLJL_02345	CDS	1068	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
BPPMDLJL_02346	CDS	630				hypothetical protein
BPPMDLJL_02347	CDS	663				hypothetical protein
BPPMDLJL_02348	CDS	1281	rnd	3.1.13.5		Ribonuclease D
BPPMDLJL_02349	CDS	399				hypothetical protein
BPPMDLJL_02350	CDS	1227	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
BPPMDLJL_02351	CDS	2127	fadJ_4		COG1024	Fatty acid oxidation complex subunit alpha
BPPMDLJL_02352	CDS	4500	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
BPPMDLJL_02353	CDS	1221				hypothetical protein
BPPMDLJL_02354	CDS	1578				hypothetical protein
BPPMDLJL_02355	CDS	1116				hypothetical protein
BPPMDLJL_02356	CDS	987	galE_2	5.1.3.2	COG1087	UDP-glucose 4-epimerase
BPPMDLJL_02357	CDS	1110	lcpB_1		COG1316	putative cell wall biosynthesis protein LcpB
BPPMDLJL_02358	CDS	366				hypothetical protein
BPPMDLJL_02359	CDS	1461				hypothetical protein
BPPMDLJL_02360	CDS	1524	yhdG_1		COG0531	putative amino acid permease YhdG
BPPMDLJL_02361	CDS	1929	dxs_2	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
BPPMDLJL_02362	CDS	1293	xylH_1		COG4214	Xylose transport system permease protein XylH
BPPMDLJL_02363	CDS	789	frcA_2	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
BPPMDLJL_02364	CDS	1110	xylF_1		COG4213	D-xylose-binding periplasmic protein
BPPMDLJL_02365	CDS	1200	nagC_4		COG1940	N-acetylglucosamine repressor
BPPMDLJL_02366	CDS	921	ngcG_3		COG0395	Diacetylchitobiose uptake system permease protein NgcG
BPPMDLJL_02367	CDS	924	ngcF_3		COG1175	Diacetylchitobiose uptake system permease protein NgcF
BPPMDLJL_02368	CDS	1452	ngcE			Diacetylchitobiose binding protein NgcE
BPPMDLJL_02369	CDS	3846				hypothetical protein
BPPMDLJL_02370	CDS	3315				hypothetical protein
BPPMDLJL_02371	CDS	1071		1.14.99.54		Lytic cellulose monooxygenase
BPPMDLJL_02372	CDS	372				hypothetical protein
BPPMDLJL_02373	CDS	1539	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
BPPMDLJL_02374	CDS	726	tcrX_3		COG0745	putative transcriptional regulatory protein TcrX
BPPMDLJL_02375	CDS	2718	acnA	4.2.1.3	COG1048	Aconitate hydratase A
BPPMDLJL_02376	CDS	198				hypothetical protein
BPPMDLJL_02377	CDS	1530	murAA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
BPPMDLJL_02378	CDS	675				hypothetical protein
BPPMDLJL_02379	CDS	1992	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
BPPMDLJL_02380	CDS	591				hypothetical protein
BPPMDLJL_02381	CDS	1569	bmr3_2			Multidrug resistance protein 3
BPPMDLJL_02382	CDS	690		3.1.3.-	COG0560	putative phosphatase
BPPMDLJL_02383	CDS	1224	hsaA_2	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
BPPMDLJL_02384	CDS	594	arpA_1			A-factor receptor protein
BPPMDLJL_02385	CDS	993				hypothetical protein
BPPMDLJL_02386	CDS	648	arpA_2			A-factor receptor protein
BPPMDLJL_02387	CDS	1560				hypothetical protein
BPPMDLJL_02388	CDS	369				hypothetical protein
BPPMDLJL_02389	CDS	960	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
BPPMDLJL_02390	CDS	1470	stp_4			Multidrug resistance protein Stp
BPPMDLJL_02391	CDS	1020				hypothetical protein
BPPMDLJL_02392	CDS	792	lgrE_2	1.1.-.-		Linear gramicidin dehydrogenase LgrE
BPPMDLJL_02393	CDS	1104	fgd_3	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
BPPMDLJL_02394	CDS	1605	lcfB_5	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BPPMDLJL_02395	CDS	1947				hypothetical protein
BPPMDLJL_02396	CDS	3762		2.3.1.41	COG3321	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
BPPMDLJL_02397	CDS	318				hypothetical protein
BPPMDLJL_02398	CDS	1635	yfmT_1	1.2.1.28	COG1012	Benzaldehyde dehydrogenase YfmT
BPPMDLJL_02399	CDS	1140	vlmH	1.14.14.30		Isobutylamine N-hydroxylase
BPPMDLJL_02400	CDS	1284	patA	2.6.1.82	COG4992	Putrescine aminotransferase
BPPMDLJL_02401	CDS	483				hypothetical protein
BPPMDLJL_02402	CDS	537				hypothetical protein
BPPMDLJL_02403	CDS	555	vlmR	1.5.1.38		NADPH-flavin oxidoreductase
BPPMDLJL_02404	CDS	984				hypothetical protein
BPPMDLJL_02405	CDS	1008	fabH_5	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
BPPMDLJL_02406	CDS	231	acpP_2		COG0236	Acyl carrier protein
BPPMDLJL_02407	CDS	1221	fabF_1	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
BPPMDLJL_02408	CDS	1521	plaP		COG0531	Low-affinity putrescine importer PlaP
BPPMDLJL_02409	CDS	1284	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
BPPMDLJL_02410	CDS	783	inhA_2	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH]
BPPMDLJL_02411	CDS	327			COG1146	Ferredoxin
BPPMDLJL_02412	CDS	1410	ydjE_1			Inner membrane metabolite transport protein YdjE
BPPMDLJL_02413	CDS	1098				hypothetical protein
BPPMDLJL_02414	CDS	201				hypothetical protein
BPPMDLJL_02415	CDS	996	mprF	2.3.2.3		Phosphatidylglycerol lysyltransferase
BPPMDLJL_02416	tRNA	96				tRNA-Ala(ggc)
BPPMDLJL_02417	tRNA	96				tRNA-Ala(ggc)
BPPMDLJL_02418	tRNA	96				tRNA-Ala(ggc)
BPPMDLJL_02419	CDS	798	embR_1		COG1716	Transcriptional regulatory protein EmbR
BPPMDLJL_02420	CDS	432				hypothetical protein
BPPMDLJL_02421	CDS	1545	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
BPPMDLJL_02422	CDS	186				hypothetical protein
BPPMDLJL_02423	CDS	441				hypothetical protein
BPPMDLJL_02424	CDS	399				hypothetical protein
BPPMDLJL_02425	CDS	1128		1.3.99.-	COG1960	putative acyl-CoA dehydrogenase fadE25
BPPMDLJL_02426	CDS	1785	bclA	6.2.1.25		Benzoate--CoA ligase
BPPMDLJL_02427	CDS	843	paaX		COG3327	Transcriptional repressor PaaX
BPPMDLJL_02428	CDS	891				hypothetical protein
BPPMDLJL_02429	CDS	411				hypothetical protein
BPPMDLJL_02430	CDS	1248	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
BPPMDLJL_02431	CDS	552	cysC_2	2.7.1.25		putative adenylyl-sulfate kinase
BPPMDLJL_02432	CDS	936	cysD_2	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
BPPMDLJL_02433	CDS	1221	cysNC_2		COG0529	Bifunctional enzyme CysN/CysC
BPPMDLJL_02434	CDS	2268	namA_2	1.6.99.1		NADPH dehydrogenase
BPPMDLJL_02435	CDS	828		4.2.1.17	COG1024	putative enoyl-CoA hydratase echA12
BPPMDLJL_02436	CDS	456				hypothetical protein
BPPMDLJL_02437	CDS	1443	yhdG_2		COG0531	putative amino acid permease YhdG
BPPMDLJL_02438	CDS	1008	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
BPPMDLJL_02439	CDS	1230	arcA	3.5.3.6	COG2235	Arginine deiminase
BPPMDLJL_02440	CDS	1023				hypothetical protein
BPPMDLJL_02441	CDS	894				hypothetical protein
BPPMDLJL_02442	CDS	2547	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
BPPMDLJL_02443	CDS	1488	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
BPPMDLJL_02444	CDS	942	fgd_4	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
BPPMDLJL_02445	CDS	462				hypothetical protein
BPPMDLJL_02446	CDS	333				hypothetical protein
BPPMDLJL_02447	CDS	1218				hypothetical protein
BPPMDLJL_02448	CDS	390	sepF_1			Cell division protein SepF
BPPMDLJL_02449	CDS	4059	napA	1.9.6.1		Periplasmic nitrate reductase
BPPMDLJL_02450	CDS	1623				hypothetical protein
BPPMDLJL_02451	CDS	348				hypothetical protein
BPPMDLJL_02452	CDS	1104	nixA_2		COG3376	Nickel transporter NixA
BPPMDLJL_02453	CDS	765				hypothetical protein
BPPMDLJL_02454	CDS	588				hypothetical protein
BPPMDLJL_02455	CDS	5004				hypothetical protein
BPPMDLJL_02456	CDS	945				hypothetical protein
BPPMDLJL_02457	CDS	2130				hypothetical protein
BPPMDLJL_02458	CDS	960				hypothetical protein
BPPMDLJL_02459	CDS	426				hypothetical protein
BPPMDLJL_02460	CDS	420	mopB		COG2005	Molybdenum-pterin-binding protein MopB
BPPMDLJL_02461	CDS	669			COG0586	putative membrane protein
BPPMDLJL_02462	CDS	1344				hypothetical protein
BPPMDLJL_02463	CDS	1560				hypothetical protein
BPPMDLJL_02464	CDS	669				hypothetical protein
BPPMDLJL_02465	CDS	174				hypothetical protein
BPPMDLJL_02466	CDS	654				hypothetical protein
BPPMDLJL_02467	CDS	279				hypothetical protein
BPPMDLJL_02468	CDS	228				hypothetical protein
BPPMDLJL_02469	CDS	816				hypothetical protein
BPPMDLJL_02470	CDS	360	gvpA_5			Gas vesicle structural protein
BPPMDLJL_02471	CDS	1131				hypothetical protein
BPPMDLJL_02472	CDS	1131				hypothetical protein
BPPMDLJL_02473	CDS	255				hypothetical protein
BPPMDLJL_02474	CDS	750				hypothetical protein
BPPMDLJL_02475	CDS	471	gvpA_6			Gas vesicle structural protein
BPPMDLJL_02476	CDS	321				hypothetical protein
BPPMDLJL_02477	CDS	156				hypothetical protein
BPPMDLJL_02478	CDS	822	bacC_2	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
BPPMDLJL_02479	CDS	510				hypothetical protein
BPPMDLJL_02480	CDS	981	mshD_3	2.3.1.189		Mycothiol acetyltransferase
BPPMDLJL_02481	CDS	1350				hypothetical protein
BPPMDLJL_02482	CDS	966	melD_3		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
BPPMDLJL_02483	CDS	870				hypothetical protein
BPPMDLJL_02484	CDS	1917		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BPPMDLJL_02485	CDS	1794		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BPPMDLJL_02486	CDS	840				hypothetical protein
BPPMDLJL_02487	CDS	1212	fabV	1.3.1.44	COG3007	Trans-2-enoyl-CoA reductase [NADH]
BPPMDLJL_02488	CDS	13512	fadA_10	2.3.1.16		3-ketoacyl-CoA thiolase
BPPMDLJL_02489	CDS	813	embR_2		COG1716	Transcriptional regulatory protein EmbR
BPPMDLJL_02490	CDS	750		1.-.-.-		putative oxidoreductase
BPPMDLJL_02491	CDS	657	degU_3		COG2197	Transcriptional regulatory protein DegU
BPPMDLJL_02492	CDS	810				hypothetical protein
BPPMDLJL_02493	CDS	261				Actinorhodin polyketide synthase acyl carrier protein
BPPMDLJL_02494	CDS	1005	pqsD	2.3.1.262	COG0332	Anthraniloyl-CoA anthraniloyltransferase
BPPMDLJL_02495	CDS	1251		2.3.1.-	COG0304	Actinorhodin polyketide putative beta-ketoacyl synthase 2
BPPMDLJL_02496	CDS	1266		2.3.1.-	COG0304	Actinorhodin polyketide putative beta-ketoacyl synthase 1
BPPMDLJL_02497	CDS	1200	pikC_2	1.14.15.33		Cytochrome P450 monooxygenase PikC
BPPMDLJL_02498	CDS	1455	dntB_1	1.14.13.210		4-methyl-5-nitrocatechol 5-monooxygenase
BPPMDLJL_02499	CDS	786	drrB_2			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
BPPMDLJL_02500	CDS	972	drrA_2	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
BPPMDLJL_02501	CDS	822				HTH-type transcriptional repressor
BPPMDLJL_02502	CDS	1005	ncsB1	2.1.1.303		2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase
BPPMDLJL_02503	CDS	891				hypothetical protein
BPPMDLJL_02504	CDS	678				hypothetical protein
BPPMDLJL_02505	CDS	1206		1.14.15.11	COG2124	Pentalenic acid synthase
BPPMDLJL_02506	CDS	705				hypothetical protein
BPPMDLJL_02507	CDS	741	fabG_6	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BPPMDLJL_02508	CDS	240	svp_2	2.7.8.7		4'-phosphopantetheinyl transferase Svp
BPPMDLJL_02509	CDS	1329	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
BPPMDLJL_02510	CDS	2052	kimA_2		COG0531	Potassium transporter KimA
BPPMDLJL_02511	CDS	96				hypothetical protein
BPPMDLJL_02512	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
BPPMDLJL_02513	CDS	678	trkA_2		COG0569	Trk system potassium uptake protein TrkA
BPPMDLJL_02514	CDS	768				hypothetical protein
BPPMDLJL_02515	CDS	351				hypothetical protein
BPPMDLJL_02516	CDS	717	kdpE		COG0745	Transcriptional regulatory protein KdpE
BPPMDLJL_02517	CDS	2556	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
BPPMDLJL_02518	CDS	1215				hypothetical protein
BPPMDLJL_02519	CDS	765				hypothetical protein
BPPMDLJL_02520	CDS	528	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
BPPMDLJL_02521	CDS	585				hypothetical protein
BPPMDLJL_02522	CDS	462				hypothetical protein
BPPMDLJL_02523	CDS	936				hypothetical protein
BPPMDLJL_02524	CDS	297				hypothetical protein
BPPMDLJL_02525	CDS	1248	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
BPPMDLJL_02526	CDS	654	tcrA_2		COG0745	Transcriptional regulatory protein TcrA
BPPMDLJL_02527	CDS	174				hypothetical protein
BPPMDLJL_02528	CDS	819	suhB_2	3.1.3.25	COG0483	Inositol-1-monophosphatase
BPPMDLJL_02529	CDS	1128	hemH	4.99.1.1	COG0276	Ferrochelatase
BPPMDLJL_02530	CDS	1239				hypothetical protein
BPPMDLJL_02531	CDS	1320		1.1.2.-	COG0277	L-gulono-1,4-lactone dehydrogenase
BPPMDLJL_02532	CDS	792				hypothetical protein
BPPMDLJL_02533	CDS	1047				hypothetical protein
BPPMDLJL_02534	CDS	852	sseB	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseB
BPPMDLJL_02535	CDS	804			COG3324	Putative glyoxylase CFP32
BPPMDLJL_02536	CDS	651	tdk	2.7.1.21		Thymidine kinase
BPPMDLJL_02537	CDS	1188				hypothetical protein
BPPMDLJL_02538	CDS	588				hypothetical protein
BPPMDLJL_02539	CDS	2850				hypothetical protein
BPPMDLJL_02540	CDS	282	ptsH			Phosphocarrier protein HPr
BPPMDLJL_02541	CDS	696	gntR_1			putative D-xylose utilization operon transcriptional repressor
BPPMDLJL_02542	CDS	777		3.4.24.75		Glycyl-glycine endopeptidase ALE-1
BPPMDLJL_02543	CDS	1389				hypothetical protein
BPPMDLJL_02544	CDS	1365		3.4.24.-	COG0612	putative zinc protease
BPPMDLJL_02545	CDS	2457	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
BPPMDLJL_02546	CDS	1086	yciC_1		COG0523	Putative metal chaperone YciC
BPPMDLJL_02547	CDS	522				hypothetical protein
BPPMDLJL_02548	CDS	330				hypothetical protein
BPPMDLJL_02549	CDS	1167	citA_1	2.3.3.16	COG0372	Citrate synthase 1
BPPMDLJL_02550	CDS	1257	citA_2	2.3.3.16	COG0372	Citrate synthase 1
BPPMDLJL_02551	CDS	948				hypothetical protein
BPPMDLJL_02552	CDS	1728	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
BPPMDLJL_02553	CDS	690	citT_1		COG4565	Transcriptional regulatory protein CitT
BPPMDLJL_02554	CDS	1062				hypothetical protein
BPPMDLJL_02555	CDS	876	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BPPMDLJL_02556	CDS	816	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
BPPMDLJL_02557	CDS	693	citT_2		COG4565	Transcriptional regulatory protein CitT
BPPMDLJL_02558	CDS	1593	mctC_2		COG4147	Monocarboxylic acid transporter
BPPMDLJL_02559	CDS	489				hypothetical protein
BPPMDLJL_02560	CDS	684	liaR_2		COG2197	Transcriptional regulatory protein LiaR
BPPMDLJL_02561	CDS	1155	lnrJ	2.7.13.3		Sensor histidine kinase LnrJ
BPPMDLJL_02562	CDS	546				hypothetical protein
BPPMDLJL_02563	CDS	2124	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BPPMDLJL_02564	CDS	231				hypothetical protein
BPPMDLJL_02565	CDS	819		3.4.21.4	COG5640	Trypsin
BPPMDLJL_02566	CDS	1539	hrdB		COG0568	RNA polymerase principal sigma factor HrdB
BPPMDLJL_02567	CDS	942	nanR_3			HTH-type transcriptional repressor NanR
BPPMDLJL_02568	CDS	1746	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BPPMDLJL_02569	CDS	753				hypothetical protein
BPPMDLJL_02570	CDS	2124				hypothetical protein
BPPMDLJL_02571	CDS	1905				hypothetical protein
BPPMDLJL_02572	CDS	2205				hypothetical protein
BPPMDLJL_02573	CDS	600				hypothetical protein
BPPMDLJL_02574	CDS	471				hypothetical protein
BPPMDLJL_02575	CDS	702	rnhB			Ribonuclease HII
BPPMDLJL_02576	CDS	624				putative HTH-type transcriptional regulator
BPPMDLJL_02577	CDS	1560	efpA_5			putative MFS-type transporter EfpA
BPPMDLJL_02578	CDS	1821				hypothetical protein
BPPMDLJL_02579	CDS	906				hypothetical protein
BPPMDLJL_02580	CDS	660	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
BPPMDLJL_02581	CDS	606				hypothetical protein
BPPMDLJL_02582	CDS	534				hypothetical protein
BPPMDLJL_02583	CDS	2895	nrdJ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleotide reductase
BPPMDLJL_02584	CDS	564	nrdR		COG1327	Transcriptional repressor NrdR
BPPMDLJL_02585	CDS	780	lexA	3.4.21.88	COG1974	LexA repressor
BPPMDLJL_02586	CDS	1953	dinG_2	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
BPPMDLJL_02587	CDS	1134				hypothetical protein
BPPMDLJL_02588	CDS	2061	iucA	6.3.2.38	COG4264	N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
BPPMDLJL_02589	CDS	1455	dat_1	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
BPPMDLJL_02590	CDS	1167				hypothetical protein
BPPMDLJL_02591	CDS	1194				hypothetical protein
BPPMDLJL_02592	CDS	1494	hflX			GTPase HflX
BPPMDLJL_02593	CDS	1425				hypothetical protein
BPPMDLJL_02594	CDS	2163	relA_1		COG0317	Bifunctional (p)ppGpp synthase/hydrolase RelA
BPPMDLJL_02595	CDS	1020	dapF_1	5.1.1.7	COG0253	Diaminopimelate epimerase
BPPMDLJL_02596	CDS	528				hypothetical protein
BPPMDLJL_02597	CDS	939	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
BPPMDLJL_02598	CDS	366				hypothetical protein
BPPMDLJL_02599	CDS	276				hypothetical protein
BPPMDLJL_02600	CDS	720				hypothetical protein
BPPMDLJL_02601	CDS	1500	miaB_2	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
BPPMDLJL_02602	CDS	339				hypothetical protein
BPPMDLJL_02603	CDS	999				hypothetical protein
BPPMDLJL_02604	CDS	1407	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
BPPMDLJL_02605	CDS	687	regX3_1		COG0745	Sensory transduction protein regX3
BPPMDLJL_02606	CDS	777	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
BPPMDLJL_02607	CDS	834	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
BPPMDLJL_02608	CDS	666	glnM_2		COG0765	putative glutamine ABC transporter permease protein GlnM
BPPMDLJL_02609	CDS	906				hypothetical protein
BPPMDLJL_02610	CDS	1866	mhpA	1.14.13.127		3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
BPPMDLJL_02611	CDS	546				hypothetical protein
BPPMDLJL_02612	CDS	402				hypothetical protein
BPPMDLJL_02613	CDS	948	recX			Regulatory protein RecX
BPPMDLJL_02614	CDS	1134	recA		COG0468	Protein RecA
BPPMDLJL_02615	CDS	810				hypothetical protein
BPPMDLJL_02616	CDS	1314				hypothetical protein
BPPMDLJL_02617	CDS	195				hypothetical protein
BPPMDLJL_02618	CDS	945				hypothetical protein
BPPMDLJL_02619	CDS	309				hypothetical protein
BPPMDLJL_02620	CDS	765				hypothetical protein
BPPMDLJL_02621	CDS	897				hypothetical protein
BPPMDLJL_02622	CDS	4977	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
BPPMDLJL_02623	CDS	843	nei	3.2.2.-	COG0266	Endonuclease 8
BPPMDLJL_02624	CDS	765	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BPPMDLJL_02625	CDS	279				hypothetical protein
BPPMDLJL_02626	CDS	471	ftpA		COG0783	Fine tangled pili major subunit
BPPMDLJL_02627	CDS	378				hypothetical protein
BPPMDLJL_02628	CDS	546	cinA			Putative competence-damage inducible protein
BPPMDLJL_02629	CDS	849	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
BPPMDLJL_02630	CDS	1488	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
BPPMDLJL_02631	CDS	870	rodZ			Cytoskeleton protein RodZ
BPPMDLJL_02632	CDS	2754				hypothetical protein
BPPMDLJL_02633	CDS	687	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BPPMDLJL_02634	CDS	5490	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
BPPMDLJL_02635	CDS	2748				hypothetical protein
BPPMDLJL_02636	tRNA	76				tRNA-Thr(ggt)
BPPMDLJL_02637	CDS	678	arnB_1	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
BPPMDLJL_02638	rRNA	111				5S ribosomal RNA
BPPMDLJL_02639	rRNA	3119				23S ribosomal RNA
BPPMDLJL_02640	rRNA	1523				16S ribosomal RNA
BPPMDLJL_02641	CDS	1686	rnj	3.1.-.-	COG0595	Ribonuclease J
BPPMDLJL_02642	CDS	900	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
BPPMDLJL_02643	CDS	762	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
BPPMDLJL_02644	CDS	240				hypothetical protein
BPPMDLJL_02645	CDS	558				hypothetical protein
BPPMDLJL_02646	CDS	453				hypothetical protein
BPPMDLJL_02647	CDS	753	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
BPPMDLJL_02648	CDS	1380		3.4.24.-	COG0612	putative zinc protease
BPPMDLJL_02649	CDS	2217	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
BPPMDLJL_02650	CDS	288	rpsO		COG0184	30S ribosomal protein S15
BPPMDLJL_02651	CDS	1461				hypothetical protein
BPPMDLJL_02652	CDS	1503				hypothetical protein
BPPMDLJL_02653	CDS	1509				hypothetical protein
BPPMDLJL_02654	CDS	3855	eccC_1		COG1674	ESX secretion system protein EccC
BPPMDLJL_02655	CDS	321				hypothetical protein
BPPMDLJL_02656	tRNA	84				tRNA-Pro(ggg)
BPPMDLJL_02657	CDS	1290				hypothetical protein
